,PDBID,pK
1282,3fum,3.77
1283,3hav,3.77
1284,3kqm,3.77
1285,3nuu,3.77
1286,3s0j,3.77
1287,3vi2,3.77
1288,3wkd,3.77
1289,4j86,3.77
1290,4k8o,3.77
1291,4q46,3.77
1292,4w5a,3.77
1293,3nq3,3.78
1294,3qi3,3.78
1295,4dhm,3.78
1296,4klv,3.78
1297,4tnw,3.78
1298,1wbv,3.79
1299,2clk,3.79
1300,2xtk,3.79
1301,4xqb,3.79
1302,1kug,3.80
1303,1li6,3.80
1304,1nje,3.80
1305,1ybo,3.80
1306,2ggd,3.80
1307,2hb1,3.80
1308,3as3,3.80
1309,3nfk,3.80
1310,3q2m,3.80
1311,3t09,3.80
1312,3vv6,3.80
1313,3zlx,3.80
1314,4ajl,3.80
1315,4umr,3.80
1316,5aib,3.80
1317,1mxl,3.81
1318,2hu6,3.81
1319,2jup,3.81
1320,2o9a,3.81
1321,2ou7,3.81
1322,3ai8,3.81
1323,3lce,3.81
1324,4q9s,3.81
1325,1hn4,3.82
1326,2gfj,3.82
1327,3g2h,3.82
1328,3sgt,3.82
1329,3tiz,3.82
1330,3ud5,3.82
1331,4aba,3.82
1332,4bks,3.82
1333,4egi,3.82
1334,4fl3,3.82
1335,4keq,3.82
1336,4mmm,3.82
1337,4y2t,3.82
1338,5d7e,3.82
1339,1r0x,3.83
1340,1r10,3.83
1341,1yhm,3.83
1342,2osf,3.83
1343,4ozo,3.83
1344,1bky,3.84
1345,1j15,3.84
1346,1j16,3.84
1347,1utj,3.84
1348,2k4i,3.84
1349,3ck8,3.84
1350,3lzz,3.84
1351,3ril,3.84
1352,4bt9,3.84
1353,4ce2,3.84
1354,4d9p,3.84
1355,4kv9,3.84
1356,5acw,3.84
1357,1n1t,3.85
1358,1n1v,3.85
1359,1sre,3.85
1360,1vcu,3.85
1361,2vhq,3.85
1362,2wzs,3.85
1363,2yb0,3.85
1364,3kqo,3.85
1365,3mv0,3.85
1366,3wq5,3.85
1367,4ivk,3.85
1368,4kiu,3.85
1369,3lbz,3.86
1370,3rtx,3.86
1371,3spf,3.86
1372,4bnt,3.86
1373,4i9u,3.86
1374,1aj7,3.87
1375,1v16,3.87
1376,2f6y,3.87
1377,2y55,3.87
1378,3g2l,3.87
1379,3h03,3.87
1380,3npa,3.87
1381,3w5n,3.87
1382,3wjw,3.87
1383,4ab8,3.87
1384,4ijl,3.87
1385,4nbk,3.87
1386,3dda,3.88
1387,3si4,3.88
1388,4mjp,3.88
1389,4prb,3.88
1390,5afk,3.88
1391,1m0q,3.89
1392,1xfv,3.89
1393,2ctc,3.89
1394,2x85,3.89
1395,2xiz,3.89
1396,3iae,3.89
1397,3obx,3.89
1398,3src,3.89
1399,3ti1,3.89
1400,3u4i,3.89
1401,3umo,3.89
1402,4aj4,3.89
1403,4dgb,3.89
1404,4dhn,3.89
1405,4lqy,3.89
1406,4nl1,3.89
1407,4ufk,3.89
1408,1avn,3.90
1409,1exw,3.90
1410,1slg,3.90
1411,2gvv,3.90
1412,2qw1,3.90
1413,2rkm,3.90
1414,2vhj,3.90
1415,2vuk,3.90
1416,2wor,3.90
1417,2wos,3.90
1418,2xel,3.90
1419,2xpc,3.90
1420,3wk7,3.90
1421,3zj8,3.90
1422,3zvw,3.90
1423,4k5n,3.90
1424,4kqq,3.90
1425,4kqr,3.90
1426,4men,3.90
1427,4n9c,3.90
1428,4qgi,3.90
1429,5ai8,3.90
1430,9icd,3.90
1431,1kuk,3.91
1432,2oei,3.91
1433,2vte,3.91
1434,3l5b,3.91
1435,1ahx,3.92
1436,1pr5,3.92
1437,2l8r,3.92
1438,2vth,3.92
1439,2yim,3.92
1440,3ap4,3.92
1441,3fgc,3.92
1442,3gk4,3.92
1443,3twp,3.92
1444,3uih,3.92
1445,3zhf,3.92
1446,4i2w,3.92
1447,4pd7,3.92
1448,1h5v,3.93
1449,2a5b,3.93
1450,2cbz,3.93
1451,3jvk,3.93
1452,3qi4,3.93
1453,4dho,3.93
1454,1v1m,3.94
1455,1z3t,3.94
1456,2h9n,3.94
1457,2v3d,3.94
1458,3bwk,3.94
1459,3pp7,3.94
1460,3t0m,3.94
1461,4fcm,3.94
1462,4hv3,3.94
1463,4k3q,3.94
1464,4kva,3.94
1465,4rgd,3.94
1466,2lo6,3.95
1467,2xvn,3.95
1468,3c0z,3.95
1469,3fsj,3.95
1470,3kze,3.95
1471,4bi6,3.95
1472,1mrs,3.96
1473,1x9d,3.96
1474,2ad5,3.96
1475,2fpz,3.96
1476,2kvm,3.96
1477,2l1b,3.96
1478,2odd,3.96
1479,2vi5,3.96
1480,2wec,3.96
1481,3c39,3.96
1482,3gt9,3.96
1483,3h2a,3.96
1484,3uxg,3.96
1485,4ac3,3.96
1486,4ce3,3.96
1487,4gqr,3.96
1488,4joj,3.96
1489,4yyn,3.96
1490,4zmf,3.96
1491,5c3k,3.96
1492,1ai6,3.97
1493,1l5q,3.97
1494,2flh,3.97
1495,3fu6,3.97
1496,4aa2,3.97
1497,4agn,3.97
1498,4ibg,3.97
1499,4twy,3.97
1500,1v11,3.98
1501,2l7u,3.98
1502,2uup,3.98
1503,3b3c,3.98
1504,4agm,3.98
1505,4k5o,3.98
1506,5c7f,3.98
1507,1ax2,3.99
1508,1rpf,3.99
1509,2g8r,3.99
1510,2q8y,3.99
1511,3chg,3.99
1512,4edu,3.99
1513,4i7l,3.99
1514,4u2y,3.99
1515,4w53,3.99
1516,1a7c,4.00
1517,1a86,4.00
1518,1e5j,4.00
1519,1fhr,4.00
1520,1gfz,4.00
1521,1j4k,4.00
1522,1jyi,4.00
1523,1kqb,4.00
1524,1la3,4.00
1525,1lgw,4.00
1526,1mx1,4.00
1527,1nu3,4.00
1528,1s9v,4.00
1529,1tlo,4.00
1530,1tni,4.00
1531,1utt,4.00
1532,1wc1,4.00
1533,1wc6,4.00
1534,1z3c,4.00
1535,2bow,4.00
1536,2brp,4.00
1537,2buv,4.00
1538,2c8y,4.00
1539,2j9l,4.00
1540,2ja3,4.00
1541,2kfx,4.00
1542,2kp8,4.00
1543,2ohr,4.00
1544,2ot1,4.00
1545,2qcg,4.00
1546,2qrl,4.00
1547,2rin,4.00
1548,2whp,4.00
1549,3a1c,4.00
1550,3c4e,4.00
1551,3fck,4.00
1552,3ijh,4.00
1553,3m8t,4.00
1554,3qzt,4.00
1555,3r9h,4.00
1556,3r9o,4.00
1557,3rpr,4.00
1558,3rzb,4.00
1559,3tvl,4.00
1560,3vd9,4.00
1561,4ai8,4.00
1562,4ayw,4.00
1563,4bcw,4.00
1564,4cfu,4.00
1565,4gjb,4.00
1566,4gxs,4.00
1567,4iz0,4.00
1568,4l7g,4.00
1569,4p6c,4.00
1570,4tuh,4.00
1571,4ucd,4.00
1572,4umb,4.00
1573,4usj,4.00
1574,4wym,4.00
1575,4ylu,4.00
1576,5a5p,4.00
1577,5akk,4.00
1578,5bvk,4.00
1579,1b42,4.01
1580,1c5z,4.01
1581,1v2w,4.01
1582,2aoi,4.01
1583,2vtl,4.01
1584,2xz5,4.01
1585,3fzn,4.01
1586,3kqw,4.01
1587,3s3k,4.01
1588,4eym,4.01
1589,5auz,4.01
1590,2wvz,4.02
1591,3as1,4.02
1592,3ddb,4.02
1593,3np7,4.02
1594,3po1,4.02
1595,3ztd,4.02
1596,4k8a,4.02
1597,1mv0,4.03
1598,2ohp,4.03
1599,2q8m,4.03
1600,2qrm,4.03
1601,2rm0,4.03
1602,2w0z,4.03
1603,2x96,4.03
1604,3bxh,4.03
1605,3mt7,4.03
1606,3nq9,4.03
1607,3ueo,4.03
1608,4bi2,4.03
1609,4kab,4.03
1610,4msn,4.03
1611,4pri,4.03
1612,4wmv,4.03
1613,1hi5,4.04
1614,1l7x,4.04
1615,1li2,4.04
1616,2c02,4.04
1617,4nmp,4.04
1618,4ps0,4.04
1619,4y2v,4.04
1620,1awi,4.05
1621,1pwy,4.05
1622,1r4w,4.05
1623,1toi,4.05
1624,1tuf,4.05
1625,2rk7,4.05
1626,2w66,4.05
1627,3ck7,4.05
1628,3d9n,4.05
1629,3fjz,4.05
1630,3isw,4.05
1631,3n8k,4.05
1632,3qx9,4.05
1633,3thd,4.05
1634,4xm6,4.05
1635,4y32,4.05
1636,2clh,4.06
1637,2clo,4.06
1638,2loz,4.06
1639,3h2f,4.06
1640,3m3c,4.06
1641,4b85,4.06
1642,4fem,4.06
1643,8a3h,4.06
1644,1at6,4.07
1645,1gj4,4.07
1646,1hyo,4.07
1647,1wax,4.07
1648,2v2v,4.07
1649,2va5,4.07
1650,2vtd,4.07
1651,2wgi,4.07
1652,2x5o,4.07
1653,3avb,4.07
1654,3mag,4.07
1655,3mct,4.07
1656,4bdb,4.07
1657,4eft,4.07
1658,4jok,4.07
1659,4xmr,4.07
1660,1lb6,4.08
1661,1n2v,4.08
1662,1y2g,4.08
1663,1yci,4.08
1664,2auc,4.08
1665,2d06,4.08
1666,2kmx,4.08
1667,2rke,4.08
1668,2z1w,4.08
1669,3f8w,4.08
1670,3kwa,4.08
1671,3r42,4.08
1672,3rxo,4.08
1673,4xdo,4.08
1674,5a5z,4.08
1675,1ai7,4.09
1676,1jn2,4.09
1677,1o0n,4.09
1678,1y2b,4.09
1679,2lk1,4.09
1680,2v88,4.09
1681,3chc,4.09
1682,3g2n,4.09
1683,3rmf,4.09
1684,4b9z,4.09
1685,4bdf,4.09
1686,4c1h,4.09
1687,4fxp,4.09
1688,4mji,4.09
1689,4p72,4.09
1690,4qkd,4.09
1691,1c5t,4.10
1692,1gwm,4.10
1693,1lxf,4.10
1694,1odj,4.10
1695,1rry,4.10
1696,1rzx,4.10
1697,2bvs,4.10
1698,2f18,4.10
1699,2qiq,4.10
1700,2qju,4.10
1701,2uw3,4.10
1702,2xuc,4.10
1703,3b78,4.10
1704,3ewz,4.10
1705,3gk1,4.10
1706,3iod,4.10
1707,4c66,4.10
1708,4cr9,4.10
1709,4do3,4.10
1710,4k6t,4.10
1711,4p75,4.10
1712,4uyd,4.10
1713,5cc2,4.10
1714,1d6s,4.11
1715,1p19,4.11
1716,1z3v,4.11
1717,2c1n,4.11
1718,2exm,4.11
1719,2o9k,4.11
1720,2uw8,4.11
1721,3d6o,4.11
1722,3l5d,4.11
1723,3ncr,4.11
1724,3oyw,4.11
1725,3v4t,4.11
1726,4bdh,4.11
1727,4ih5,4.11
1728,4lh6,4.11
1729,1bsk,4.12
1730,1e55,4.12
1731,1i33,4.12
1732,1uy8,4.12
1733,3a1d,4.12
1734,3fu5,4.12
1735,3ivc,4.12
1736,3ivq,4.12
1737,3mam,4.12
1738,3mkn,4.12
1739,3th0,4.12
1740,4aa1,4.12
1741,4bdg,4.12
1742,4de2,4.12
1743,4kxb,4.12
1744,4mi3,4.12
1745,4qfn,4.12
1746,4whq,4.12
1747,4whr,4.12
1748,4whs,4.12
1749,4zow,4.12
1750,1v2q,4.13
1751,3ozt,4.13
1752,3qto,4.13
1753,4hxj,4.13
1754,4ovf,4.13
1755,4yc0,4.13
1756,1gny,4.14
1757,3adu,4.14
1758,3sna,4.14
1759,3t4n,4.14
1760,3tvx,4.14
1761,4cc3,4.14
1762,4i7m,4.14
1763,4ibi,4.14
1764,4k6u,4.14
1765,4trw,4.14
1766,5dq8,4.14
1767,1m2x,4.15
1768,1om9,4.15
1769,1q91,4.15
1770,2alv,4.15
1771,2mc1,4.15
1772,2toh,4.15
1773,2v2q,4.15
1774,2vt3,4.15
1775,2xg9,4.15
1776,3a9i,4.15
1777,3axk,4.15
1778,3c8e,4.15
1779,3d51,4.15
1780,3dz2,4.15
1781,3m56,4.15
1782,3q8h,4.15
1783,3r9d,4.15
1784,3sur,4.15
1785,3sus,4.15
1786,3wk9,4.15
1787,4abh,4.15
1788,4cr5,4.15
1789,4esi,4.15
1790,4ibe,4.15
1791,4kz4,4.15
1792,4o45,4.15
1793,4ok3,4.15
1794,5afm,4.15
1795,3d3x,4.16
1796,3qzv,4.16
1797,3si3,4.16
1798,4bi1,4.16
1799,4jkw,4.16
1800,4klb,4.16
1801,1mns,4.17
1802,1v2s,4.17
1803,2pl9,4.17
1804,2vxj,4.17
1805,3d9l,4.17
1806,3qfd,4.17
1807,4azt,4.17
1808,4b9w,4.17
1809,4jof,4.17
1810,4nzb,4.17
1811,4oma,4.17
1812,4q1s,4.17
1813,4w54,4.17
1814,1o9e,4.18
1815,2lh8,4.18
1816,2qfu,4.18
1817,3avl,4.18
1818,3q2j,4.18
1819,1at5,4.19
1820,1hi3,4.19
1821,1k3t,4.19
1822,2lya,4.19
1823,2pmc,4.19
1824,2wl4,4.19
1825,3ayd,4.19
1826,3b3w,4.19
1827,3cft,4.19
1828,3cr5,4.19
1829,3ds4,4.19
1830,3ee2,4.19
1831,3f3a,4.19
1832,3my5,4.19
1833,3nok,4.19
1834,3srb,4.19
1835,3sv2,4.19
1836,4j8g,4.19
1837,4n9a,4.19
1838,4nra,4.19
1839,4q83,4.19
1840,4yyi,4.19
1841,1c5y,4.20
1842,1c87,4.20
1843,1ghw,4.20
1844,1n3z,4.20
1845,2r2b,4.20
1846,2x4s,4.20
1847,3b8h,4.20
1848,3djp,4.20
1849,3hqh,4.20
1850,3qx5,4.20
1851,3rg2,4.20
1852,4tww,4.20
1853,4wbo,4.20
1854,4x1p,4.20
1855,1odi,4.21
1856,1qk4,4.21
1857,1ulg,4.21
1858,1yon,4.21
1859,2j83,4.21
1860,2qmj,4.21
1861,3sov,4.21
1862,3uec,4.21
1863,3wkb,4.21
1864,4bqs,4.21
1865,4pda,4.21
1866,4tw6,4.21
1867,4u6w,4.21
1868,4ucs,4.21
1869,1aze,4.22
1870,1gx0,4.22
1871,1joj,4.22
1872,1kv5,4.22
1873,1pzi,4.22
1874,1t5f,4.22
1875,1ua4,4.22
1876,2imb,4.22
1877,2kzu,4.22
1878,2l65,4.22
1879,2ltw,4.22
1880,2w6o,4.22
1881,3f80,4.22
1882,3kyq,4.22
1883,4asy,4.22
1884,4gny,4.22
1885,4k63,4.22
1886,4mo4,4.22
1887,4oak,4.22
1888,4own,4.22
1889,4yy6,4.22
1890,4zh4,4.22
1891,1prl,4.23
1892,1prm,4.23
1893,2jke,4.23
1894,2jkp,4.23
1895,3nii,4.23
1896,3zqe,4.23
1897,4bi0,4.23
1898,4qfp,4.23
1899,4x3h,4.23
1900,5ak4,4.23
1901,2bes,4.24
1902,2ksp,4.24
1903,2x52,4.24
1904,3ayc,4.24
1905,3cj3,4.24
1906,3h78,4.24
1907,3uwk,4.24
1908,4f8h,4.24
1909,4fpk,4.24
1910,5e13,4.24
1911,1juq,4.25
1912,1li3,4.25
1913,2mji,4.25
1914,3d27,4.25
1915,3u4h,4.25
1916,4k75,4.25
1917,4lpg,4.25
1918,1u8t,4.26
1919,2l12,4.26
1920,2qrk,4.26
1921,3lk1,4.26
1922,3qwc,4.26
1923,3tdh,4.26
1924,3zmv,4.26
1925,4r0a,4.26
1926,4u69,4.26
1927,4w9n,4.26
1928,1g6r,4.27
1929,1m5w,4.27
1930,1uyg,4.27
1931,3ijg,4.27
1932,4aoc,4.27
1933,4bhz,4.27
1934,4h36,4.27
1935,4qfo,4.27
1936,1i5h,4.28
1937,1ml1,4.28
1938,2g96,4.28
1939,2jo9,4.28
1940,2vzr,4.28
1941,2wmr,4.28
1942,3cr4,4.28
1943,3f5j,4.28
1944,3gta,4.28
1945,3i4a,4.28
1946,3jrs,4.28
1947,3tzd,4.28
1948,4b95,4.28
1949,4fak,4.28
1950,4ufj,4.28
1951,4y2s,4.28
1952,5a6n,4.28
1953,5al1,4.28
1954,1e2l,4.29
1955,1v2l,4.29
1956,1v2m,4.29
1957,2wuf,4.29
1958,3zyh,4.29
1959,4i3z,4.29
1960,4z7q,4.29
1961,1a30,4.30
1962,1amk,4.30
1963,1det,4.30
1964,1mfg,4.30
1965,1ppw,4.30
1966,1qm4,4.30
1967,1rs2,4.30
1968,1w3k,4.30
1969,1xsc,4.30
1970,2cli,4.30
1971,2cll,4.30
1972,2csm,4.30
1973,2exg,4.30
1974,2pix,4.30
1975,2q7y,4.30
1976,2xnn,4.30
1977,2ylp,4.30
1978,2ylq,4.30
1979,3ivg,4.30
1980,3moe,4.30
1981,3mta,4.30
1982,3n46,4.30
1983,3obu,4.30
1984,3t0b,4.30
1985,3upk,4.30
1986,3zmu,4.30
1987,4cqf,4.30
1988,4eoh,4.30
1989,4hwt,4.30
1990,4ibk,4.30
1991,4iu1,4.30
1992,4jc1,4.30
1993,4k7o,4.30
1994,4kij,4.30
1995,4o24,4.30
1996,4o43,4.30
1997,4o5g,4.30
1998,4o61,4.30
1999,4u0a,4.30
2000,4u0b,4.30
2001,4wyz,4.30
2002,4xhv,4.30
2003,4zme,4.30
2004,5aic,4.30
2005,1ajq,4.31
2006,1rgk,4.31
2007,2tpi,4.31
2008,2wkt,4.31
2009,2z3z,4.31
2010,3q5u,4.31
2011,3r8z,4.31
2012,3vb4,4.31
2013,3vb7,4.31
2014,3wk8,4.31
2015,4b7z,4.31
2016,4kow,4.31
2017,4mi6,4.31
2018,4ny3,4.31
2019,4u0c,4.31
2020,4u0d,4.31
2021,1gu3,4.32
2022,2boi,4.32
2023,2ha6,4.32
2024,2qtt,4.32
2025,2x4u,4.32
2026,3c3q,4.32
2027,3nth,4.32
2028,3tpu,4.32
2029,4hco,4.32
2030,4q7p,4.32
2031,4rsk,4.32
2032,4u43,4.32
2033,4ucc,4.32
2034,1olx,4.33
2035,2uze,4.33
2036,2xo8,4.33
2037,3aya,4.33
2038,3l7a,4.33
2039,4cc2,4.33
2040,4cc7,4.33
2041,4ibj,4.33
2042,4ijh,4.33
2043,1e3v,4.34
2044,1jyc,4.34
2045,1z6s,4.34
2046,2ha5,4.34
2047,2iv9,4.34
2048,3r5m,4.34
2049,3uvx,4.34
2050,4lys,4.34
2051,5agi,4.34
2052,1ghv,4.35
2053,1sv3,4.35
2054,1t37,4.35
2055,1yfz,4.35
2056,1zm6,4.35
2057,2rok,4.35
2058,3feg,4.35
2059,4a2a,4.35
2060,4eeh,4.35
2061,4ez3,4.35
2062,4j82,4.35
2063,4owv,4.35
2064,1dy4,4.36
2065,1n5z,4.36
2066,1wbw,4.36
2067,1we2,4.36
2068,2ez7,4.36
2069,2fys,4.36
2070,3c3o,4.36
2071,3dpc,4.36
2072,3rsr,4.36
2073,3wpn,4.36
2074,4idz,4.36
2075,4nbn,4.36
2076,5alv,4.36
2077,1bug,4.37
2078,1td7,4.37
2079,2jdy,4.37
2080,2zif,4.37
2081,4clz,4.37
2082,4dt2,4.37
2083,4gu9,4.37
2084,4o3t,4.37
2085,1bhf,4.38
2086,1p7m,4.38
2087,1qvt,4.38
2088,2wmu,4.38
2089,2y4a,4.38
2090,3b24,4.38
2091,3guz,4.38
2092,3nfl,4.38
2093,3sc1,4.38
2094,3snb,4.38
2095,3u9q,4.38
2096,4ce1,4.38
2097,5afj,4.38
2098,1jh1,4.39
2099,1uyc,4.39
2100,2avq,4.39
2101,2hjb,4.39
2102,3c3r,4.39
2103,3djo,4.39
2104,3e62,4.39
2105,3snc,4.39
2106,3tll,4.39
2107,4b82,4.39
2108,4bek,4.39
2109,4mdr,4.39
2110,4p4t,4.39
2111,1btn,4.40
2112,1jmq,4.40
2113,1p57,4.40
2114,1py1,4.40
2115,2ohs,4.40
2116,2pwd,4.40
2117,2vio,4.40
2118,3ava,4.40
2119,3fcf,4.40
2120,3fn0,4.40
2121,3i5r,4.40
2122,3itu,4.40
2123,3jzg,4.40
2124,3l6x,4.40
2125,3np9,4.40
2126,3unn,4.40
2127,3va4,4.40
2128,3wgg,4.40
2129,3zls,4.40
2130,4abd,4.40
2131,4b80,4.40
2132,4dy6,4.40
2133,4omk,4.40
2134,4pl0,4.40
2135,4pp0,4.40
2136,4zh3,4.40
2137,5aer,4.40
2138,5ai6,4.40
2139,6cha,4.40
2140,6rsa,4.40
2141,7kme,4.40
2142,1i8j,4.41
2143,1l6s,4.41
2144,1no6,4.41
2145,1olu,4.41
2146,2csn,4.41
2147,2ypp,4.41
2148,3iqi,4.41
2149,3rqf,4.41
2150,3rsx,4.41
2151,3uxd,4.41
2152,3vb6,4.41
2153,3zqt,4.41
2154,4exs,4.41
2155,4fpf,4.41
2156,4ou3,4.41
2157,4qn9,4.41
2158,4usi,4.41
2159,5bot,4.41
2160,1h00,4.42
2161,1rsi,4.42
2162,1tjp,4.42
2163,2poq,4.42
2164,2vr0,4.42
2165,2wfg,4.42
2166,3dri,4.42
2167,3igb,4.42
2168,3p23,4.42
2169,3qvv,4.42
2170,3rtm,4.42
2171,4cc5,4.42
2172,4ek9,4.42
2173,4nrb,4.42
2174,4q7s,4.42
2175,1rgl,4.43
2176,1rst,4.43
2177,2a3c,4.43
2178,2f6v,4.43
2179,2ha0,4.43
2180,2pu2,4.43
2181,2we3,4.43
2182,2wyf,4.43
2183,3art,4.43
2184,3b82,4.43
2185,3kqr,4.43
2186,3m3e,4.43
2187,3pxf,4.43
2188,3pxq,4.43
2189,3r69,4.43
2190,3tvw,4.43
2191,3vbt,4.43
2192,4axd,4.43
2193,4bdd,4.43
2194,4dsy,4.43
2195,4ibf,4.43
2196,4joo,4.43
2197,4jpy,4.43
2198,4kcx,4.43
2199,4mnq,4.43
2200,4qf9,4.43
2201,4ykj,4.43
2202,1k2v,4.44
2203,2amt,4.44
2204,2aoh,4.44
2205,2q9y,4.44
2206,3ex3,4.44
2207,3hfj,4.44
2208,3iiw,4.44
2209,3k27,4.44
2210,3okc,4.44
2211,3pd3,4.44
2212,3u81,4.44
2213,3wb4,4.44
2214,4d1b,4.44
2215,4dhp,4.44
2216,4hcz,4.44
2217,4jfd,4.44
2218,4k3o,4.44
2219,4pd6,4.44
2220,4rrr,4.44
2221,4x2l,4.44
2222,4zsr,4.44
2223,5azf,4.44
2224,1zhk,4.45
2225,2wbg,4.45
2226,3atp,4.45
2227,4g2r,4.45
2228,4h71,4.45
2229,1qvu,4.46
2230,1v1k,4.46
2231,1w84,4.46
2232,1wvc,4.46
2233,2h9m,4.46
2234,2j4q,4.46
2235,2lyb,4.46
2236,2pt9,4.46
2237,2v85,4.46
2238,2v86,4.46
2239,2w2u,4.46
2240,2zit,4.46
2241,3bmn,4.46
2242,3jq8,4.46
2243,3jqa,4.46
2244,3jqf,4.46
2245,3pqz,4.46
2246,3sgv,4.46
2247,3tsz,4.46
2248,4gki,4.46
2249,4i8n,4.46
2250,4urn,4.46
2251,5akg,4.46
2252,5c3p,4.46
2253,2bj4,4.47
2254,2f70,4.47
2255,2r2w,4.47
2256,2v83,4.47
2257,3hec,4.47
2258,3hl5,4.47
2259,3skk,4.47
2260,4cix,4.47
2261,4cu8,4.47
2262,4lh7,4.47
2263,4mra,4.47
2264,4owo,4.47
2265,4ym4,4.47
2266,5afn,4.47
2267,5dtj,4.47
2268,5eay,4.47
2269,1jaq,4.48
2270,1qan,4.48
2271,1r5v,4.48
2272,1zkk,4.48
2273,2jq9,4.48
2274,2ogy,4.48
2275,2wwj,4.48
2276,2xln,4.48
2277,3bsc,4.48
2278,3p17,4.48
2279,3pd4,4.48
2280,3s0o,4.48
2281,3t01,4.48
2282,3udm,4.48
2283,3vd7,4.48
2284,4bvb,4.48
2285,4dhl,4.48
2286,4eke,4.48
2287,4oks,4.48
2288,4rxc,4.48
2289,1hi4,4.49
2290,1j14,4.49
2291,1o7o,4.49
2292,2prj,4.49
2293,3f9y,4.49
2294,3h26,4.49
2295,3hl8,4.49
2296,3kmy,4.49
2297,3l2y,4.49
2298,3udk,4.49
2299,4ccd,4.49
2300,4cwf,4.49
2301,4dhq,4.49
2302,4el0,4.49
2303,4nmq,4.49
2304,1d6n,4.50
2305,2eg8,4.50
2306,3n7h,4.50
2307,3ro0,4.50
2308,3sw8,4.50
2309,4dcx,4.50
2310,4j81,4.50
2311,1gi7,4.51
2312,1zkn,4.51
2313,2r1y,4.51
2314,2xct,4.51
2315,2yog,4.51
2316,2zlf,4.51
2317,3aas,4.51
2318,3puj,4.51
2319,3uug,4.51
2320,4abb,4.51
2321,4d2w,4.51
2322,4g90,4.51
2323,4jfe,4.51
2324,4jxv,4.51
2325,4ok5,4.51
2326,4z2o,4.51
2327,5auv,4.51
2328,1a85,4.52
2329,1ctt,4.52
2330,1gu1,4.52
2331,1mrn,4.52
2332,1uyf,4.52
2333,1xz8,4.52
2334,1z4n,4.52
2335,1z4o,4.52
2336,2a4m,4.52
2337,2bua,4.52
2338,2gfk,4.52
2339,2h1h,4.52
2340,2lyw,4.52
2341,2opy,4.52
2342,2puy,4.52
2343,2ra6,4.52
2344,2vl8,4.52
2345,2vur,4.52
2346,2wl5,4.52
2347,2wm0,4.52
2348,2xf0,4.52
2349,3bzf,4.52
2350,3ccb,4.52
2351,3dga,4.52
2352,3fdt,4.52
2353,3g4f,4.52
2354,3gy7,4.52
2355,3ksl,4.52
2356,3lau,4.52
2357,3q7j,4.52
2358,3r0w,4.52
2359,3r6u,4.52
2360,3t0l,4.52
2361,3w5t,4.52
2362,4dcy,4.52
2363,4gzw,4.52
2364,4igq,4.52
2365,4p0a,4.52
2366,4pku,4.52
2367,4pml,4.52
2368,4pnn,4.52
2369,4pns,4.52
2370,4pyn,4.52
2371,4pyo,4.52
2372,4trc,4.52
2373,3h30,4.53
2374,3l81,4.53
2375,3otx,4.53
2376,3ued,4.53
2377,4x49,4.53
2378,5dms,4.53
2379,1amw,4.54
2380,1b2h,4.54
2381,1czq,4.54
2382,1i8h,4.54
2383,1lyx,4.54
2384,1lzo,4.54
2385,1oko,4.54
2386,1szd,4.54
2387,1w80,4.54
2388,2frd,4.54
2389,2v96,4.54
2390,2w5i,4.54
2391,2zz1,4.54
2392,2zz2,4.54
2393,3d9p,4.54
2394,3iub,4.54
2395,3wka,4.54
2396,3zn1,4.54
2397,4b76,4.54
2398,4bd3,4.54
2399,4m5h,4.54
2400,4nw2,4.54
2401,4x3t,4.54
2402,1czo,4.55
2403,1h08,4.55
2404,1rrw,4.55
2405,1utc,4.55
2406,2aof,4.55
2407,2qn2,4.55
2408,2w92,4.55
2409,2xag,4.55
2410,3adt,4.55
2411,3aqa,4.55
2412,3as0,4.55
2413,3b2q,4.55
2414,3djv,4.55
2415,3mt8,4.55
2416,3oq5,4.55
2417,3p8p,4.55
2418,3ppq,4.55
2419,3rr4,4.55
2420,3suv,4.55
2421,3vby,4.55
2422,3zmt,4.55
2423,4hkp,4.55
2424,4igk,4.55
2425,4leg,4.55
2426,4mx5,4.55
2427,4myd,4.55
2428,4oz3,4.55
2429,2cgv,4.56
2430,3uw9,4.56
2431,3ztc,4.56
2432,4j73,4.56
2433,4x3k,4.56
2434,1i41,4.57
2435,1uj0,4.57
2436,1w2g,4.57
2437,2uzj,4.57
2438,2uzo,4.57
2439,2y2h,4.57
2440,2y2n,4.57
2441,3n8n,4.57
2442,3p4w,4.57
2443,3soq,4.57
2444,3sym,4.57
2445,3wb5,4.57
2446,4ciy,4.57
2447,4dhr,4.57
2448,4erk,4.57
2449,4fp1,4.57
2450,4gvd,4.57
2451,4i11,4.57
2452,4or4,4.57
2453,4yrd,4.57
2454,5a3h,4.57
2455,2k46,4.58
2456,3nc4,4.58
2457,3vvz,4.58
2458,4bi7,4.58
2459,4qbm,4.58
2460,1bma,4.59
2461,1d04,4.59
2462,1fj4,4.59
2463,1iew,4.59
2464,1kak,4.59
2465,1l2s,4.59
2466,1vcj,4.59
2467,2c69,4.59
2468,2ihj,4.59
2469,2jiw,4.59
2470,2x6f,4.59
2471,2x6y,4.59
2472,2y2i,4.59
2473,2ybs,4.59
2474,3f3t,4.59
2475,3h2o,4.59
2476,3hp9,4.59
2477,3iqh,4.59
2478,3msk,4.59
2479,3mt9,4.59
2480,3ob2,4.59
2481,3ujc,4.59
